employee_id,clock_in,clock_out,tasks_completed
E001,2026-05-10 09:00:00,2026-05-10 17:30:00,20
E002,2026-05-10 09:15:00,2026-05-10 16:45:00,15
E003,2026-05-10 10:00:00,2026-05-10 14:00:00,6
E004,2026-05-10 08:45:00,2026-05-10 18:00:00,25
E005,2026-05-10 11:00:00,2026-05-10 15:00:00,4
E006,2026-05-10 09:30:00,2026-05-10 19:00:00,30
E007,2026-05-10 10:30:00,2026-05-10 13:30:00,3
E008,2026-05-10 09:00:00,2026-05-10 17:00:00,18
E009,2026-05-10 12:00:00,2026-05-10 16:00:00,5
E010,2026-05-10 08:30:00,2026-05-10 17:30:00,22
