Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,India,Electronics,Online,H,2024-01-05,10001,2024-01-10,120,250,180,30000,21600,8400
Asia,India,Furniture,Offline,M,2024-01-08,10002,2024-01-14,75,400,320,30000,24000,6000
Europe,Germany,Clothing,Online,L,2024-01-12,10003,2024-01-18,200,50,30,10000,6000,4000
North America,USA,Electronics,Online,H,2024-01-15,10004,2024-01-20,150,300,220,45000,33000,12000
Africa,Kenya,Food,Offline,C,2024-01-18,10005,2024-01-25,300,20,12,6000,3600,2400
Asia,India,Clothing,Online,M,2024-02-01,10006,2024-02-06,180,45,25,8100,4500,3600
Europe,France,Furniture,Offline,H,2024-02-04,10007,2024-02-10,60,500,410,30000,24600,5400
North America,Canada,Food,Online,L,2024-02-09,10008,2024-02-15,250,18,10,4500,2500,2000
Asia,China,Electronics,Online,H,2024-02-12,10009,2024-02-18,90,270,200,24300,18000,6300
Africa,Nigeria,Clothing,Offline,M,2024-02-16,10010,2024-02-22,140,40,22,5600,3080,2520
